 2016-06-11 15:29:16,078 [P17768/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.0 application starting on NIKOLAY
 2016-06-11 15:29:16,186 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-11 15:29:16,224 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 37ms)
 2016-06-11 15:29:16,422 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-11 15:29:17,483 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1060ms)
 2016-06-11 15:29:17,532 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-11 15:29:17,555 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 23ms)
 2016-06-11 15:29:17,563 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-11 15:29:17,582 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 18ms)
 2016-06-11 15:29:17,623 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-11 15:29:17,643 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 20ms)
 2016-06-11 15:29:17,650 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-11 15:29:17,713 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 63ms)
 2016-06-11 15:29:17,846 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-11 15:29:17,875 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 29ms)
 2016-06-11 15:29:17,877 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-11 15:29:17,892 [P17768/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 15ms)
 2016-06-11 15:29:21,039 [P17768/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-11 15:29:21,985 [P17768/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-11 15:29:21,990 [P17768/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-11 15:29:22,128 [P17768/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-11 15:29:22,184 [P17768/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-11 15:29:22,490 [P17768/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
